merchant_reference,date,time_from,time_to,note_glossary_key
MER000001,2029-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000001,2029-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000001,2030-01-01,,,merchant_weekday_schedule.new_year
MER000001,2030-04-19,,,merchant_weekday_schedule.good_friday
MER000001,2030-04-22,,,merchant_weekday_schedule.easter_monday
MER000001,2030-05-01,,,merchant_weekday_schedule.may_day
MER000001,2030-05-30,,,merchant_weekday_schedule.ascension_of_christ
MER000001,2030-06-10,,,merchant_weekday_schedule.whit_monday
MER000001,2030-06-20,,,merchant_weekday_schedule.corpus_christi
MER000001,2030-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000001,2030-11-01,,,merchant_weekday_schedule.all_saints_day
MER000001,2030-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000001,2030-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000001,2031-01-01,,,merchant_weekday_schedule.new_year
MER000001,2031-04-11,,,merchant_weekday_schedule.good_friday
MER000001,2031-04-14,,,merchant_weekday_schedule.easter_monday
MER000001,2031-05-01,,,merchant_weekday_schedule.may_day
MER000001,2031-05-22,,,merchant_weekday_schedule.ascension_of_christ
MER000001,2031-06-02,,,merchant_weekday_schedule.whit_monday
MER000001,2031-06-12,,,merchant_weekday_schedule.corpus_christi
MER000001,2031-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000001,2031-11-01,,,merchant_weekday_schedule.all_saints_day
MER000001,2031-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000001,2031-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000001,2032-01-01,,,merchant_weekday_schedule.new_year
MER000001,2032-03-26,,,merchant_weekday_schedule.good_friday
MER000001,2032-03-29,,,merchant_weekday_schedule.easter_monday
MER000001,2032-05-01,,,merchant_weekday_schedule.may_day
MER000001,2032-05-06,,,merchant_weekday_schedule.ascension_of_christ
MER000001,2032-05-17,,,merchant_weekday_schedule.whit_monday
MER000001,2032-05-27,,,merchant_weekday_schedule.corpus_christi
MER000001,2032-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000001,2032-11-01,,,merchant_weekday_schedule.all_saints_day
MER000001,2032-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000001,2032-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000001,2033-01-01,,,merchant_weekday_schedule.new_year
MER000001,2033-04-15,,,merchant_weekday_schedule.good_friday
MER000001,2033-04-18,,,merchant_weekday_schedule.easter_monday
MER000001,2033-05-01,,,merchant_weekday_schedule.may_day
MER000001,2033-05-26,,,merchant_weekday_schedule.ascension_of_christ
MER000001,2033-06-06,,,merchant_weekday_schedule.whit_monday
MER000001,2033-06-16,,,merchant_weekday_schedule.corpus_christi
MER000001,2033-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000001,2033-11-01,,,merchant_weekday_schedule.all_saints_day
MER000001,2033-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000001,2033-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000001,2034-01-01,,,merchant_weekday_schedule.new_year
MER000001,2034-04-07,,,merchant_weekday_schedule.good_friday
MER000001,2034-04-10,,,merchant_weekday_schedule.easter_monday
MER000001,2034-05-01,,,merchant_weekday_schedule.may_day
MER000001,2034-05-18,,,merchant_weekday_schedule.ascension_of_christ
MER000001,2034-05-29,,,merchant_weekday_schedule.whit_monday
MER000001,2034-06-08,,,merchant_weekday_schedule.corpus_christi
MER000001,2034-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000001,2034-11-01,,,merchant_weekday_schedule.all_saints_day
MER000001,2034-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000001,2034-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000001,2035-01-01,,,merchant_weekday_schedule.new_year
MER000001,2035-03-23,,,merchant_weekday_schedule.good_friday
MER000001,2035-03-26,,,merchant_weekday_schedule.easter_monday
MER000001,2035-05-01,,,merchant_weekday_schedule.may_day
MER000001,2035-05-03,,,merchant_weekday_schedule.ascension_of_christ
MER000001,2035-05-14,,,merchant_weekday_schedule.whit_monday
MER000001,2035-05-24,,,merchant_weekday_schedule.corpus_christi
MER000001,2035-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000001,2035-11-01,,,merchant_weekday_schedule.all_saints_day
MER000001,2035-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000001,2035-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000001,2024-11-24,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
MER000001,2025-11-30,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
MER000001,2026-11-29,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
MER000001,2027-11-28,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
MER000001,2028-11-26,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
MER000001,2029-11-25,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
MER000001,2030-11-24,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
MER000001,2031-11-30,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
MER000001,2032-11-28,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
MER000001,2033-11-27,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
MER000001,2034-11-26,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
MER000001,2024-12-31,10:00:00,17:00:00,
MER000001,2025-12-31,10:00:00,17:00:00,
MER000001,2026-12-31,10:00:00,17:00:00,
MER000001,2027-12-31,10:00:00,17:00:00,
MER000001,2028-12-31,10:00:00,17:00:00,
MER000001,2029-12-31,10:00:00,17:00:00,
MER000001,2030-12-31,10:00:00,17:00:00,
MER000001,2031-12-31,10:00:00,17:00:00,
MER000001,2032-12-31,10:00:00,17:00:00,
MER000001,2033-12-31,10:00:00,17:00:00,
MER000001,2034-12-31,10:00:00,17:00:00,
MER000002,2024-01-01,,,merchant_weekday_schedule.new_year
MER000002,2024-03-29,,,merchant_weekday_schedule.good_friday
MER000002,2024-04-01,,,merchant_weekday_schedule.easter_monday
MER000002,2024-05-01,,,merchant_weekday_schedule.may_day
MER000002,2024-05-09,,,merchant_weekday_schedule.ascension_of_christ
MER000002,2024-05-20,,,merchant_weekday_schedule.whit_monday
MER000002,2024-05-30,,,merchant_weekday_schedule.corpus_christi
MER000002,2024-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000002,2024-11-01,,,merchant_weekday_schedule.all_saints_day
MER000002,2024-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000002,2024-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000002,2025-01-01,,,merchant_weekday_schedule.new_year
MER000002,2025-04-18,,,merchant_weekday_schedule.good_friday
MER000002,2025-04-21,,,merchant_weekday_schedule.easter_monday
MER000002,2025-05-01,,,merchant_weekday_schedule.may_day
MER000002,2025-05-29,,,merchant_weekday_schedule.ascension_of_christ
MER000002,2025-06-09,,,merchant_weekday_schedule.whit_monday
MER000002,2025-06-19,,,merchant_weekday_schedule.corpus_christi
MER000002,2025-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000002,2025-11-01,,,merchant_weekday_schedule.all_saints_day
MER000002,2025-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000002,2025-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000002,2026-01-01,,,merchant_weekday_schedule.new_year
MER000002,2026-04-03,,,merchant_weekday_schedule.good_friday
MER000002,2026-04-06,,,merchant_weekday_schedule.easter_monday
MER000002,2026-05-01,,,merchant_weekday_schedule.may_day
MER000002,2026-05-14,,,merchant_weekday_schedule.ascension_of_christ
MER000002,2026-05-25,,,merchant_weekday_schedule.whit_monday
MER000002,2026-06-04,,,merchant_weekday_schedule.corpus_christi
MER000002,2026-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000002,2026-11-01,,,merchant_weekday_schedule.all_saints_day
MER000002,2026-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000002,2026-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000002,2027-01-01,,,merchant_weekday_schedule.new_year
MER000002,2027-03-26,,,merchant_weekday_schedule.good_friday
MER000002,2027-03-29,,,merchant_weekday_schedule.easter_monday
MER000002,2027-05-01,,,merchant_weekday_schedule.may_day
MER000002,2027-05-06,,,merchant_weekday_schedule.ascension_of_christ
MER000002,2027-05-17,,,merchant_weekday_schedule.whit_monday
MER000002,2027-05-27,,,merchant_weekday_schedule.corpus_christi
MER000002,2027-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000002,2027-11-01,,,merchant_weekday_schedule.all_saints_day
MER000002,2027-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000002,2027-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000002,2028-01-01,,,merchant_weekday_schedule.new_year
MER000002,2028-04-14,,,merchant_weekday_schedule.good_friday
MER000002,2028-04-17,,,merchant_weekday_schedule.easter_monday
MER000002,2028-05-01,,,merchant_weekday_schedule.may_day
MER000002,2028-05-25,,,merchant_weekday_schedule.ascension_of_christ
MER000002,2028-06-05,,,merchant_weekday_schedule.whit_monday
MER000002,2028-06-15,,,merchant_weekday_schedule.corpus_christi
MER000002,2028-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000002,2028-11-01,,,merchant_weekday_schedule.all_saints_day
MER000002,2028-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000002,2028-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000002,2029-01-01,,,merchant_weekday_schedule.new_year
MER000002,2029-03-30,,,merchant_weekday_schedule.good_friday
MER000002,2029-04-02,,,merchant_weekday_schedule.easter_monday
MER000002,2029-05-01,,,merchant_weekday_schedule.may_day
MER000002,2029-05-10,,,merchant_weekday_schedule.ascension_of_christ
MER000002,2029-05-21,,,merchant_weekday_schedule.whit_monday
MER000002,2029-05-31,,,merchant_weekday_schedule.corpus_christi
MER000002,2029-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000002,2029-11-01,,,merchant_weekday_schedule.all_saints_day
MER000002,2029-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000002,2029-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000002,2030-01-01,,,merchant_weekday_schedule.new_year
MER000002,2030-04-19,,,merchant_weekday_schedule.good_friday
MER000002,2030-04-22,,,merchant_weekday_schedule.easter_monday
MER000002,2030-05-01,,,merchant_weekday_schedule.may_day
MER000002,2030-05-30,,,merchant_weekday_schedule.ascension_of_christ
MER000002,2030-06-10,,,merchant_weekday_schedule.whit_monday
MER000002,2030-06-20,,,merchant_weekday_schedule.corpus_christi
MER000002,2030-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000002,2030-11-01,,,merchant_weekday_schedule.all_saints_day
MER000002,2030-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000002,2030-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000002,2031-01-01,,,merchant_weekday_schedule.new_year
MER000002,2031-04-11,,,merchant_weekday_schedule.good_friday
MER000002,2031-04-14,,,merchant_weekday_schedule.easter_monday
MER000002,2031-05-01,,,merchant_weekday_schedule.may_day
MER000002,2031-05-22,,,merchant_weekday_schedule.ascension_of_christ
MER000002,2031-06-02,,,merchant_weekday_schedule.whit_monday
MER000002,2031-06-12,,,merchant_weekday_schedule.corpus_christi
MER000002,2031-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000002,2031-11-01,,,merchant_weekday_schedule.all_saints_day
MER000002,2031-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000002,2031-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000002,2032-01-01,,,merchant_weekday_schedule.new_year
MER000002,2032-03-26,,,merchant_weekday_schedule.good_friday
MER000002,2032-03-29,,,merchant_weekday_schedule.easter_monday
MER000002,2032-05-01,,,merchant_weekday_schedule.may_day
MER000002,2032-05-06,,,merchant_weekday_schedule.ascension_of_christ
MER000002,2032-05-17,,,merchant_weekday_schedule.whit_monday
MER000002,2032-05-27,,,merchant_weekday_schedule.corpus_christi
MER000002,2032-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000002,2032-11-01,,,merchant_weekday_schedule.all_saints_day
MER000002,2032-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000002,2032-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000002,2033-01-01,,,merchant_weekday_schedule.new_year
MER000002,2033-04-15,,,merchant_weekday_schedule.good_friday
MER000002,2033-04-18,,,merchant_weekday_schedule.easter_monday
MER000002,2033-05-01,,,merchant_weekday_schedule.may_day
MER000002,2033-05-26,,,merchant_weekday_schedule.ascension_of_christ
MER000002,2033-06-06,,,merchant_weekday_schedule.whit_monday
MER000002,2033-06-16,,,merchant_weekday_schedule.corpus_christi
MER000002,2033-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000002,2033-11-01,,,merchant_weekday_schedule.all_saints_day
MER000002,2033-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000002,2033-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000002,2034-01-01,,,merchant_weekday_schedule.new_year
MER000002,2034-04-07,,,merchant_weekday_schedule.good_friday
MER000002,2034-04-10,,,merchant_weekday_schedule.easter_monday
MER000002,2034-05-01,,,merchant_weekday_schedule.may_day
MER000002,2034-05-18,,,merchant_weekday_schedule.ascension_of_christ
MER000002,2034-05-29,,,merchant_weekday_schedule.whit_monday
MER000002,2034-06-08,,,merchant_weekday_schedule.corpus_christi
MER000002,2034-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000002,2034-11-01,,,merchant_weekday_schedule.all_saints_day
MER000002,2034-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000002,2034-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000002,2035-01-01,,,merchant_weekday_schedule.new_year
MER000002,2035-03-23,,,merchant_weekday_schedule.good_friday
MER000002,2035-03-26,,,merchant_weekday_schedule.easter_monday
MER000002,2035-05-01,,,merchant_weekday_schedule.may_day
MER000002,2035-05-03,,,merchant_weekday_schedule.ascension_of_christ
MER000002,2035-05-14,,,merchant_weekday_schedule.whit_monday
MER000002,2035-05-24,,,merchant_weekday_schedule.corpus_christi
MER000002,2035-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000002,2035-11-01,,,merchant_weekday_schedule.all_saints_day
MER000002,2035-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000002,2035-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000002,2024-11-24,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
MER000002,2025-11-30,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
MER000002,2026-11-29,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
MER000002,2027-11-28,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
MER000002,2028-11-26,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
MER000002,2029-11-25,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
MER000002,2030-11-24,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
MER000002,2031-11-30,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
MER000002,2032-11-28,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
MER000002,2033-11-27,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
MER000002,2034-11-26,13:00:00,18:00:00,merchant_weekday_schedule.sunday_opening
MER000002,2024-12-31,10:00:00,17:00:00,
MER000002,2025-12-31,10:00:00,17:00:00,
MER000002,2026-12-31,10:00:00,17:00:00,
MER000002,2027-12-31,10:00:00,17:00:00,
MER000002,2028-12-31,10:00:00,17:00:00,
MER000002,2029-12-31,10:00:00,17:00:00,
MER000002,2030-12-31,10:00:00,17:00:00,
MER000002,2031-12-31,10:00:00,17:00:00,
MER000002,2032-12-31,10:00:00,17:00:00,
MER000002,2033-12-31,10:00:00,17:00:00,
MER000002,2034-12-31,10:00:00,17:00:00,
MER000005,2024-01-01,,,merchant_weekday_schedule.new_year
MER000005,2024-03-29,,,merchant_weekday_schedule.good_friday
MER000005,2024-04-01,,,merchant_weekday_schedule.easter_monday
MER000005,2024-05-01,,,merchant_weekday_schedule.may_day
MER000005,2024-05-09,,,merchant_weekday_schedule.ascension_of_christ
MER000005,2024-05-20,,,merchant_weekday_schedule.whit_monday
MER000005,2024-05-30,,,merchant_weekday_schedule.corpus_christi
MER000005,2024-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000005,2024-11-01,,,merchant_weekday_schedule.all_saints_day
MER000005,2024-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000005,2024-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000005,2025-01-01,,,merchant_weekday_schedule.new_year
MER000005,2025-04-18,,,merchant_weekday_schedule.good_friday
MER000005,2025-04-21,,,merchant_weekday_schedule.easter_monday
MER000005,2025-05-01,,,merchant_weekday_schedule.may_day
MER000005,2025-05-29,,,merchant_weekday_schedule.ascension_of_christ
MER000005,2025-06-09,,,merchant_weekday_schedule.whit_monday
MER000005,2025-06-19,,,merchant_weekday_schedule.corpus_christi
MER000005,2025-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000005,2025-11-01,,,merchant_weekday_schedule.all_saints_day
MER000005,2025-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000005,2025-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000005,2026-01-01,,,merchant_weekday_schedule.new_year
MER000005,2026-04-03,,,merchant_weekday_schedule.good_friday
MER000005,2026-04-06,,,merchant_weekday_schedule.easter_monday
MER000005,2026-05-01,,,merchant_weekday_schedule.may_day
MER000005,2026-05-14,,,merchant_weekday_schedule.ascension_of_christ
MER000005,2026-05-25,,,merchant_weekday_schedule.whit_monday
MER000005,2026-06-04,,,merchant_weekday_schedule.corpus_christi
MER000005,2026-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000005,2026-11-01,,,merchant_weekday_schedule.all_saints_day
MER000005,2026-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000005,2026-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000005,2027-01-01,,,merchant_weekday_schedule.new_year
MER000005,2027-03-26,,,merchant_weekday_schedule.good_friday
MER000005,2027-03-29,,,merchant_weekday_schedule.easter_monday
MER000005,2027-05-01,,,merchant_weekday_schedule.may_day
MER000005,2027-05-06,,,merchant_weekday_schedule.ascension_of_christ
MER000005,2027-05-17,,,merchant_weekday_schedule.whit_monday
MER000005,2027-05-27,,,merchant_weekday_schedule.corpus_christi
MER000005,2027-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000005,2027-11-01,,,merchant_weekday_schedule.all_saints_day
MER000005,2027-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000005,2027-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000005,2028-01-01,,,merchant_weekday_schedule.new_year
MER000005,2028-04-14,,,merchant_weekday_schedule.good_friday
MER000005,2028-04-17,,,merchant_weekday_schedule.easter_monday
MER000005,2028-05-01,,,merchant_weekday_schedule.may_day
MER000005,2028-05-25,,,merchant_weekday_schedule.ascension_of_christ
MER000005,2028-06-05,,,merchant_weekday_schedule.whit_monday
MER000005,2028-06-15,,,merchant_weekday_schedule.corpus_christi
MER000005,2028-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000005,2028-11-01,,,merchant_weekday_schedule.all_saints_day
MER000005,2028-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000005,2028-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000005,2029-01-01,,,merchant_weekday_schedule.new_year
MER000005,2029-03-30,,,merchant_weekday_schedule.good_friday
MER000005,2029-04-02,,,merchant_weekday_schedule.easter_monday
MER000005,2029-05-01,,,merchant_weekday_schedule.may_day
MER000005,2029-05-10,,,merchant_weekday_schedule.ascension_of_christ
MER000005,2029-05-21,,,merchant_weekday_schedule.whit_monday
MER000005,2029-05-31,,,merchant_weekday_schedule.corpus_christi
MER000005,2029-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000005,2029-11-01,,,merchant_weekday_schedule.all_saints_day
MER000005,2029-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000005,2029-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000005,2030-01-01,,,merchant_weekday_schedule.new_year
MER000005,2030-04-19,,,merchant_weekday_schedule.good_friday
MER000005,2030-04-22,,,merchant_weekday_schedule.easter_monday
MER000005,2030-05-01,,,merchant_weekday_schedule.may_day
MER000005,2030-05-30,,,merchant_weekday_schedule.ascension_of_christ
MER000005,2030-06-10,,,merchant_weekday_schedule.whit_monday
MER000005,2030-06-20,,,merchant_weekday_schedule.corpus_christi
MER000005,2030-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000005,2030-11-01,,,merchant_weekday_schedule.all_saints_day
MER000005,2030-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000005,2030-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000005,2031-01-01,,,merchant_weekday_schedule.new_year
MER000005,2031-04-11,,,merchant_weekday_schedule.good_friday
MER000005,2031-04-14,,,merchant_weekday_schedule.easter_monday
MER000005,2031-05-01,,,merchant_weekday_schedule.may_day
MER000005,2031-05-22,,,merchant_weekday_schedule.ascension_of_christ
MER000005,2031-06-02,,,merchant_weekday_schedule.whit_monday
MER000005,2031-06-12,,,merchant_weekday_schedule.corpus_christi
MER000005,2031-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000005,2031-11-01,,,merchant_weekday_schedule.all_saints_day
MER000005,2031-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000005,2031-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000005,2032-01-01,,,merchant_weekday_schedule.new_year
MER000005,2032-03-26,,,merchant_weekday_schedule.good_friday
MER000005,2032-03-29,,,merchant_weekday_schedule.easter_monday
MER000005,2032-05-01,,,merchant_weekday_schedule.may_day
MER000005,2032-05-06,,,merchant_weekday_schedule.ascension_of_christ
MER000005,2032-05-17,,,merchant_weekday_schedule.whit_monday
MER000005,2032-05-27,,,merchant_weekday_schedule.corpus_christi
MER000005,2032-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000005,2032-11-01,,,merchant_weekday_schedule.all_saints_day
MER000005,2032-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000005,2032-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000005,2033-01-01,,,merchant_weekday_schedule.new_year
MER000005,2033-04-15,,,merchant_weekday_schedule.good_friday
MER000005,2033-04-18,,,merchant_weekday_schedule.easter_monday
MER000005,2033-05-01,,,merchant_weekday_schedule.may_day
MER000005,2033-05-26,,,merchant_weekday_schedule.ascension_of_christ
MER000005,2033-06-06,,,merchant_weekday_schedule.whit_monday
MER000005,2033-06-16,,,merchant_weekday_schedule.corpus_christi
MER000005,2033-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000005,2033-11-01,,,merchant_weekday_schedule.all_saints_day
MER000005,2033-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000005,2033-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000005,2034-01-01,,,merchant_weekday_schedule.new_year
MER000005,2034-04-07,,,merchant_weekday_schedule.good_friday
MER000005,2034-04-10,,,merchant_weekday_schedule.easter_monday
MER000005,2034-05-01,,,merchant_weekday_schedule.may_day
